
**** 12/13/19 16:37:54 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     CIRCUIT DESCRIPTION


******************************************************************************



.lib C:\Cadence\SPB_17.2\tools\pspice\library\eval.lib
VIN        1   0   AC 1V
R1 1 2 1.5198898948036383
C1 1 2 1.1685056964139169
R2 2 3 0.24163793769988043
C2 2 3 0.743803732604398
R3 3 4 0.061134398238069744
C3 3 4 0.29752149304175923
R4 4 5 0.015467002754231645
C4 4 5 0.1190085972167037
R5 5 6 0.0039131516968206066
C5 5 6 0.047603438886681476
R6 6 7 0.0009900273792956135
C6 6 7 0.019041375554672592
R7 7 8 0.00025047692696179017
C7 7 8 0.0076165502218690385
R8 8 9 6.337066252133292e-05
C8 8 9 0.003046620088747615
R9 9 10 1.603277761789723e-05
C9 9 10 0.0012186480354990463
R10 10 11 4.056292737327999e-06
C10 10 11 0.0004874592141996185
R11 11 12 1.0262420625439837e-06
C11 11 12 0.0001949836856798474
R12 12 13 1.2981962091181395e-07
C12 12 13 0.00015598694854387793
R13 13 0 1.8891567562630236e-07
.AC DEC 100 1 1000000
.PRINT AC VM(1) VP(1) IM(VIN) IP(VIN)
.END

**** 12/13/19 16:37:54 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     SMALL SIGNAL BIAS SOLUTION       TEMPERATURE =   27.000 DEG C


******************************************************************************



 NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE


(    1)    0.0000  (    2)    0.0000  (    3)    0.0000  (    4)    0.0000      

(    5)    0.0000  (    6)    0.0000  (    7)    0.0000  (    8)    0.0000      

(    9)    0.0000  (   10)    0.0000  (   11)    0.0000  (   12)    0.0000      

(   13)    0.0000  




    VOLTAGE SOURCE CURRENTS
    NAME         CURRENT

    VIN          0.000E+00

    TOTAL POWER DISSIPATION   0.00E+00  WATTS


**** 12/13/19 16:37:54 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     AC ANALYSIS                      TEMPERATURE =   27.000 DEG C


******************************************************************************



  FREQ        VM(1)       VP(1)       IM(VIN)     IP(VIN)     


   1.000E+00   1.000E+00   0.000E+00   3.036E+00  -1.273E+02
   1.023E+00   1.000E+00   0.000E+00   3.079E+00  -1.271E+02
   1.047E+00   1.000E+00   0.000E+00   3.123E+00  -1.270E+02
   1.072E+00   1.000E+00   0.000E+00   3.168E+00  -1.269E+02
   1.096E+00   1.000E+00   0.000E+00   3.213E+00  -1.268E+02
   1.122E+00   1.000E+00   0.000E+00   3.260E+00  -1.267E+02
   1.148E+00   1.000E+00   0.000E+00   3.307E+00  -1.266E+02
   1.175E+00   1.000E+00   0.000E+00   3.356E+00  -1.265E+02
   1.202E+00   1.000E+00   0.000E+00   3.405E+00  -1.264E+02
   1.230E+00   1.000E+00   0.000E+00   3.456E+00  -1.263E+02
   1.259E+00   1.000E+00   0.000E+00   3.507E+00  -1.262E+02
   1.288E+00   1.000E+00   0.000E+00   3.560E+00  -1.261E+02
   1.318E+00   1.000E+00   0.000E+00   3.613E+00  -1.260E+02
   1.349E+00   1.000E+00   0.000E+00   3.668E+00  -1.259E+02
   1.380E+00   1.000E+00   0.000E+00   3.724E+00  -1.258E+02
   1.413E+00   1.000E+00   0.000E+00   3.781E+00  -1.258E+02
   1.445E+00   1.000E+00   0.000E+00   3.838E+00  -1.257E+02
   1.479E+00   1.000E+00   0.000E+00   3.897E+00  -1.256E+02
   1.514E+00   1.000E+00   0.000E+00   3.957E+00  -1.256E+02
   1.549E+00   1.000E+00   0.000E+00   4.018E+00  -1.255E+02
   1.585E+00   1.000E+00   0.000E+00   4.081E+00  -1.255E+02
   1.622E+00   1.000E+00   0.000E+00   4.144E+00  -1.254E+02
   1.660E+00   1.000E+00   0.000E+00   4.208E+00  -1.254E+02
   1.698E+00   1.000E+00   0.000E+00   4.273E+00  -1.254E+02
   1.738E+00   1.000E+00   0.000E+00   4.340E+00  -1.254E+02
   1.778E+00   1.000E+00   0.000E+00   4.407E+00  -1.253E+02
   1.820E+00   1.000E+00   0.000E+00   4.476E+00  -1.253E+02
   1.862E+00   1.000E+00   0.000E+00   4.545E+00  -1.253E+02
   1.905E+00   1.000E+00   0.000E+00   4.615E+00  -1.253E+02
