
**** 12/13/19 17:39:21 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     CIRCUIT DESCRIPTION


******************************************************************************



.lib C:\Cadence\SPB_17.2\tools\pspice\library\eval.lib
VIN        1   0   AC 1V
R1 1 2 1.5310955542480119e-06
C1 1 2 0.08170613604718352
R2 2 3 1.6132026470174018e-05
C2 2 3 0.13790119903731643
R3 3 4 0.0001617808927558726
C3 3 4 0.24452864461254412
R4 4 5 0.0016180760852820904
C4 4 5 0.4347684581624912
R5 5 6 0.01618236290835089
C5 5 6 0.7730632563682562
R6 6 7 0.16208316335844217
C6 6 7 1.3725212088926397
R7 7 8 1.6684677425936003
C7 7 8 2.3710414903380594
R8 8 9 35.97878894226995
C8 8 9 1.9552866160016769
R9 9 0 3.7827320109503437e-07
.AC DEC 100 1 1000
.PRINT AC VM(1) VP(1) IM(VIN) IP(VIN)
.END

**** 12/13/19 17:39:21 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     SMALL SIGNAL BIAS SOLUTION       TEMPERATURE =   27.000 DEG C


******************************************************************************



 NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE


(    1)    0.0000  (    2)    0.0000  (    3)    0.0000  (    4)    0.0000      

(    5)    0.0000  (    6)    0.0000  (    7)    0.0000  (    8)    0.0000      

(    9)    0.0000  




    VOLTAGE SOURCE CURRENTS
    NAME         CURRENT

    VIN          0.000E+00

    TOTAL POWER DISSIPATION   0.00E+00  WATTS


**** 12/13/19 17:39:21 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     AC ANALYSIS                      TEMPERATURE =   27.000 DEG C


******************************************************************************



  FREQ        VM(1)       VP(1)       IM(VIN)     IP(VIN)     


   1.000E+00   1.000E+00   0.000E+00   4.190E+00  -1.085E+02
   1.023E+00   1.000E+00   0.000E+00   4.266E+00  -1.084E+02
   1.047E+00   1.000E+00   0.000E+00   4.345E+00  -1.083E+02
   1.072E+00   1.000E+00   0.000E+00   4.426E+00  -1.081E+02
   1.096E+00   1.000E+00   0.000E+00   4.508E+00  -1.080E+02
   1.122E+00   1.000E+00   0.000E+00   4.592E+00  -1.079E+02
   1.148E+00   1.000E+00   0.000E+00   4.679E+00  -1.078E+02
   1.175E+00   1.000E+00   0.000E+00   4.767E+00  -1.077E+02
   1.202E+00   1.000E+00   0.000E+00   4.858E+00  -1.076E+02
   1.230E+00   1.000E+00   0.000E+00   4.951E+00  -1.075E+02
   1.259E+00   1.000E+00   0.000E+00   5.046E+00  -1.074E+02
   1.288E+00   1.000E+00   0.000E+00   5.143E+00  -1.073E+02
   1.318E+00   1.000E+00   0.000E+00   5.243E+00  -1.072E+02
   1.349E+00   1.000E+00   0.000E+00   5.344E+00  -1.071E+02
   1.380E+00   1.000E+00   0.000E+00   5.449E+00  -1.070E+02
   1.413E+00   1.000E+00   0.000E+00   5.556E+00  -1.069E+02
   1.445E+00   1.000E+00   0.000E+00   5.665E+00  -1.068E+02
   1.479E+00   1.000E+00   0.000E+00   5.777E+00  -1.067E+02
   1.514E+00   1.000E+00   0.000E+00   5.891E+00  -1.066E+02
   1.549E+00   1.000E+00   0.000E+00   6.009E+00  -1.066E+02
   1.585E+00   1.000E+00   0.000E+00   6.129E+00  -1.065E+02
   1.622E+00   1.000E+00   0.000E+00   6.251E+00  -1.064E+02
   1.660E+00   1.000E+00   0.000E+00   6.377E+00  -1.064E+02
   1.698E+00   1.000E+00   0.000E+00   6.505E+00  -1.063E+02
   1.738E+00   1.000E+00   0.000E+00   6.636E+00  -1.062E+02
