
**** 12/13/19 03:59:41 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     CIRCUIT DESCRIPTION


******************************************************************************



.lib C:\Cadence\SPB_17.2\tools\pspice\library\eval.lib
VIN        1   0   AC 1V
R1 1 0 9
C2 1 2 2.963
R2 2 0 1.7325
C3 2 3 1.1874







R4 3 0 0.86892
.AC DEC 100 0.1 10
.PRINT AC VM(1) VP(1) IM(VIN) IP(VIN)
.END

**** 12/13/19 03:59:41 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     SMALL SIGNAL BIAS SOLUTION       TEMPERATURE =   27.000 DEG C


******************************************************************************



 NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE


(    1)    0.0000  (    2)    0.0000  (    3)    0.0000  




    VOLTAGE SOURCE CURRENTS
    NAME         CURRENT

    VIN          0.000E+00

    TOTAL POWER DISSIPATION   0.00E+00  WATTS


**** 12/13/19 03:59:41 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     AC ANALYSIS                      TEMPERATURE =   27.000 DEG C


******************************************************************************



  FREQ        VM(1)       VP(1)       IM(VIN)     IP(VIN)     


   1.000E-01   1.000E+00   0.000E+00   8.444E-01  -1.350E+02
   1.023E-01   1.000E+00   0.000E+00   8.566E-01  -1.352E+02
   1.047E-01   1.000E+00   0.000E+00   8.690E-01  -1.353E+02
   1.072E-01   1.000E+00   0.000E+00   8.815E-01  -1.354E+02
   1.096E-01   1.000E+00   0.000E+00   8.943E-01  -1.356E+02
   1.122E-01   1.000E+00   0.000E+00   9.072E-01  -1.357E+02
   1.148E-01   1.000E+00   0.000E+00   9.202E-01  -1.359E+02
   1.175E-01   1.000E+00   0.000E+00   9.334E-01  -1.361E+02
   1.202E-01   1.000E+00   0.000E+00   9.468E-01  -1.363E+02
   1.230E-01   1.000E+00   0.000E+00   9.603E-01  -1.365E+02
   1.259E-01   1.000E+00   0.000E+00   9.740E-01  -1.367E+02
   1.288E-01   1.000E+00   0.000E+00   9.878E-01  -1.369E+02
   1.318E-01   1.000E+00   0.000E+00   1.002E+00  -1.372E+02
   1.349E-01   1.000E+00   0.000E+00   1.016E+00  -1.374E+02
   1.380E-01   1.000E+00   0.000E+00   1.030E+00  -1.377E+02
   1.413E-01   1.000E+00   0.000E+00   1.044E+00  -1.380E+02
   1.445E-01   1.000E+00   0.000E+00   1.058E+00  -1.382E+02
   1.479E-01   1.000E+00   0.000E+00   1.073E+00  -1.385E+02
   1.514E-01   1.000E+00   0.000E+00   1.087E+00  -1.388E+02
   1.549E-01   1.000E+00   0.000E+00   1.102E+00  -1.391E+02
   1.585E-01   1.000E+00   0.000E+00   1.116E+00  -1.395E+02
   1.622E-01   1.000E+00   0.000E+00   1.131E+00  -1.398E+02
   1.660E-01   1.000E+00   0.000E+00   1.146E+00  -1.401E+02
   1.698E-01   1.000E+00   0.000E+00   1.160E+00  -1.405E+02
   1.738E-01   1.000E+00   0.000E+00   1.175E+00  -1.408E+02
   1.778E-01   1.000E+00   0.000E+00   1.189E+00  -1.412E+02
