
**** 12/13/19 17:22:59 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 ['* Matlab created *.cir-file *']


 ****     CIRCUIT DESCRIPTION


******************************************************************************



['.lib C:\\Cadence\\SPB_17.2\\tools\\pspice\\library\\eval.lib']
['VIN        1   0   AC 1V']
['R1 1 2 0.004466465413723158']
['C1 2 0 0.1699293784879202']
['R2 1 3 0.10944709326979155']
['C2 3 0 0.10067326662828437']
['R3 1 4 0.3943572830972851']
['C3 4 0 0.09077568318875885']
['R4 1 5 0.8799657438081956']
['C4 5 0 0.09536431612559092']
['R5 1 6 1.5634964067290835']
['C5 6 0 0.11375807385553609']
['R6 1 7 2.4395272615944728']
['C6 7 0 0.15705717488835863']
['R7 1 8 3.550428299268764']
['C7 8 0 0.2695097724763911']
['R8 1 9 5.208383208325146']
['C8 9 0 0.7330618273265841']
['R9 1 9 18.181590757812568']
['.AC DEC 100 0.01 100']
['.PRINT AC VM(1) VP(1) IM(VIN) IP(VIN)']
['.END']

**** 12/13/19 17:22:59 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 ['* Matlab created *.cir-file *']


 ****     SMALL SIGNAL BIAS SOLUTION       TEMPERATURE =   27.000 DEG C


******************************************************************************



 NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE


(    1)    0.0000  (    2)    0.0000  (    3)    0.0000  (    4)    0.0000      

(    5)    0.0000  (    6)    0.0000  (    7)    0.0000  (    8)    0.0000      

(    9)    0.0000  




    VOLTAGE SOURCE CURRENTS
    NAME         CURRENT

    VIN          0.000E+00

    TOTAL POWER DISSIPATION   0.00E+00  WATTS


**** 12/13/19 17:22:59 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 ['* Matlab created *.cir-file *']


 ****     AC ANALYSIS                      TEMPERATURE =   27.000 DEG C


******************************************************************************



  FREQ        VM(1)       VP(1)       IM(VIN)     IP(VIN)     


   1.000E-02   1.000E+00   0.000E+00   1.075E-01  -9.517E+01
   1.023E-02   1.000E+00   0.000E+00   1.100E-01  -9.528E+01
   1.047E-02   1.000E+00   0.000E+00   1.125E-01  -9.540E+01
   1.072E-02   1.000E+00   0.000E+00   1.150E-01  -9.552E+01
   1.096E-02   1.000E+00   0.000E+00   1.177E-01  -9.564E+01
   1.122E-02   1.000E+00   0.000E+00   1.203E-01  -9.577E+01
   1.148E-02   1.000E+00   0.000E+00   1.230E-01  -9.590E+01
   1.175E-02   1.000E+00   0.000E+00   1.258E-01  -9.603E+01
   1.202E-02   1.000E+00   0.000E+00   1.287E-01  -9.616E+01
   1.230E-02   1.000E+00   0.000E+00   1.316E-01  -9.630E+01
   1.259E-02   1.000E+00   0.000E+00   1.345E-01  -9.644E+01
   1.288E-02   1.000E+00   0.000E+00   1.376E-01  -9.658E+01
   1.318E-02   1.000E+00   0.000E+00   1.407E-01  -9.672E+01
   1.349E-02   1.000E+00   0.000E+00   1.438E-01  -9.687E+01
   1.380E-02   1.000E+00   0.000E+00   1.470E-01  -9.702E+01
   1.413E-02   1.000E+00   0.000E+00   1.503E-01  -9.717E+01
   1.445E-02   1.000E+00   0.000E+00   1.537E-01  -9.733E+01
   1.479E-02   1.000E+00   0.000E+00   1.571E-01  -9.749E+01
   1.514E-02   1.000E+00   0.000E+00   1.606E-01  -9.765E+01
   1.549E-02   1.000E+00   0.000E+00   1.641E-01  -9.781E+01
   1.585E-02   1.000E+00   0.000E+00   1.678E-01  -9.798E+01
   1.622E-02   1.000E+00   0.000E+00   1.715E-01  -9.815E+01
   1.660E-02   1.000E+00   0.000E+00   1.753E-01  -9.832E+01
   1.698E-02   1.000E+00   0.000E+00   1.791E-01  -9.850E+01
   1.738E-02   1.000E+00   0.000E+00   1.830E-01  -9.868E+01
   1.778E-02   1.000E+00   0.000E+00   1.871E-01  -9.886E+01
