
**** 12/13/19 16:15:57 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     CIRCUIT DESCRIPTION


******************************************************************************



.lib C:\Cadence\SPB_17.2\tools\pspice\library\eval.lib
VIN        1   0   AC 1V
Rp 1 0 21.24298386366024
Cp 1 0 0.002414529118663077
R1 1 2 3.681605899141823
C1 2 0 4.322976099342793
R2 1 3 0.5438092311884086
C2 3 0 0.6385458882433493
R3 1 4 0.08032594689036705
C3 4 0 0.09431947853111548
.AC DEC 100 0.01 100
.PRINT AC VM(1) VP(1) IM(VIN) IP(VIN)
.END

**** 12/13/19 16:15:57 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     SMALL SIGNAL BIAS SOLUTION       TEMPERATURE =   27.000 DEG C


******************************************************************************



 NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE


(    1)    0.0000  (    2)    0.0000  (    3)    0.0000  (    4)    0.0000  




    VOLTAGE SOURCE CURRENTS
    NAME         CURRENT

    VIN          0.000E+00

    TOTAL POWER DISSIPATION   0.00E+00  WATTS


**** 12/13/19 16:15:57 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     AC ANALYSIS                      TEMPERATURE =   27.000 DEG C


******************************************************************************



  FREQ        VM(1)       VP(1)       IM(VIN)     IP(VIN)     


   1.000E-02   1.000E+00   0.000E+00   2.586E-01  -1.353E+02
   1.023E-02   1.000E+00   0.000E+00   2.616E-01  -1.356E+02
   1.047E-02   1.000E+00   0.000E+00   2.646E-01  -1.359E+02
   1.072E-02   1.000E+00   0.000E+00   2.675E-01  -1.363E+02
   1.096E-02   1.000E+00   0.000E+00   2.704E-01  -1.366E+02
   1.122E-02   1.000E+00   0.000E+00   2.733E-01  -1.369E+02
   1.148E-02   1.000E+00   0.000E+00   2.761E-01  -1.372E+02
   1.175E-02   1.000E+00   0.000E+00   2.790E-01  -1.375E+02
   1.202E-02   1.000E+00   0.000E+00   2.817E-01  -1.379E+02
   1.230E-02   1.000E+00   0.000E+00   2.845E-01  -1.382E+02
   1.259E-02   1.000E+00   0.000E+00   2.872E-01  -1.385E+02
   1.288E-02   1.000E+00   0.000E+00   2.899E-01  -1.388E+02
   1.318E-02   1.000E+00   0.000E+00   2.925E-01  -1.391E+02
   1.349E-02   1.000E+00   0.000E+00   2.951E-01  -1.394E+02
   1.380E-02   1.000E+00   0.000E+00   2.977E-01  -1.396E+02
   1.413E-02   1.000E+00   0.000E+00   3.003E-01  -1.399E+02
   1.445E-02   1.000E+00   0.000E+00   3.028E-01  -1.402E+02
   1.479E-02   1.000E+00   0.000E+00   3.052E-01  -1.405E+02
   1.514E-02   1.000E+00   0.000E+00   3.077E-01  -1.407E+02
   1.549E-02   1.000E+00   0.000E+00   3.101E-01  -1.410E+02
   1.585E-02   1.000E+00   0.000E+00   3.125E-01  -1.412E+02
   1.622E-02   1.000E+00   0.000E+00   3.148E-01  -1.414E+02
   1.660E-02   1.000E+00   0.000E+00   3.171E-01  -1.417E+02
